GSM_ID,XIST,TYROBP,DOCK2,FCER1G,GSTA4,ABCC2,TIMELESS,ACBD5,LMAN1,KIFAP3,PCTK2,SNCA,RPS27,RPS18,PCBP2,STIP1,HSPA1A,DOPEY1,ENPP2,GAB2,TUBB4,ACTG1,SLC22A2,AGTR1,ZIC2,TEKT1,FANK1,HYDIN,MED6,SFRS3,PPP2R5A,RNASE11,LAMP2,P2RX7,MID1IP1,GJA1,STON2,CST3,CREBBP,ABCC11,MDGA1,SNAP91,BSN,GLS,DTL,UBE2C,BUB1,RFX4,DGCR6,AQP4,MT1M,AMPD1,EGR2,PDGFB
GSM1090268_alz_f,0.301474,0.209515,0.161961,0.310937,-0.17929,-0.00925,0.027849,0.057428,-0.04113,-0.15759,-0.06918,-0.0908,0.1098,0.173962,-0.06722,-0.12707,-0.49392,-0.02786,0.410887,0.367131,0.072662,0.265522,-0.0288,-0.11686,-0.40714,0.782806,0.416168,0.371047,-0.04788,-0.07756,0.079375,0.103891,0.206308,0.026367,0.153168,-0.34548,0.150785,0.170911,-0.23177,0.060809,-0.20318,-0.43513,-0.36066,-0.38991,0.008948,0.009005,0.124712,0.12992,0.262155,-0.13354,0.256252,0.037935,-0.34734,0.045741
GSM1090271_alz_f,0.460495,-0.16217,-0.0896,-0.13201,-0.01009,0.02753,-0.00782,-0.00669,-0.04282,-0.15361,0.003434,-0.14297,-0.00216,0.080778,-0.05864,-0.00206,-0.38395,0.071771,0.018447,0.07731,-0.02658,-0.08183,-0.02352,-0.02581,-0.05901,-0.05993,-0.03794,-0.0415,0.053209,-0.03417,1.049139,0.12515,0.011712,-0.00866,-0.05289,0.257032,0.11888,0.213379,-0.0198,0.129053,0.054466,-0.13721,-0.02486,-0.16458,-0.01664,0.053466,-0.04446,0.082901,0.054048,0.19393,0.237436,0.076833,-0.44004,0.081575
GSM1090272_alz_f,0.238641,0.280428,0.313562,0.267188,-0.10473,0.130515,0.228776,-0.0761,-0.07062,-0.03629,-0.05113,-0.06365,-0.08827,0.0313,0.04236,0.074189,-0.23021,-0.2596,-0.33913,-0.1443,-0.0794,-0.10611,0.016621,-0.14284,0.151797,-0.27988,-0.01041,-0.09929,-0.09559,-0.06007,0.053111,0.060123,-0.04164,0.004861,0.141907,-0.22452,-0.15322,-0.25242,0.083729,-0.02109,0.171105,0.091326,0.068229,0.325894,0.33283,0.19565,0.20318,-0.15682,-0.07729,-0.18047,-0.12807,0.050049,-0.15067,0.069818
GSM1090274_alz_f,0.276038,0.400028,0.251573,0.275051,-0.33018,0.137491,0.105215,-0.09633,-0.08223,-0.24641,-0.02612,-0.14919,-0.05748,0.012253,0.041027,0.272599,0.62571,-0.3285,-0.08667,0.199156,-0.06407,-0.0276,0.01894,-0.04846,-0.18745,0.246659,0.265556,-0.08628,-0.0614,-0.1496,0.184527,0.013888,0.206636,0.350183,0.55784,-0.08703,0.049931,0.146178,0.015391,-0.06213,0.04884,-0.26287,-0.16305,-0.01285,-0.03121,0.021954,-0.03247,0.032545,0.308341,0.191308,0.662724,-0.03691,-0.11944,0.252757
GSM1090276_alz_f,0.435775,-0.29332,-0.2628,-0.13867,-0.01655,0.013355,-0.00629,-0.25949,-0.17585,-0.24193,-0.31167,-0.24415,0.003537,0.051093,-0.01285,-0.04269,-0.50649,0.028548,-0.25336,0.0538,0.019796,0.008208,0.068381,-0.05745,-0.05431,-0.01634,0.0558,0.155717,-0.01845,-0.08179,1.007453,0.884077,-0.17665,-0.1392,-0.08828,0.064729,0.00628,0.313947,-0.04014,0.182091,0.251276,-0.21906,0.005231,-0.19243,0.001323,0.094361,-0.00421,0.150745,0.272414,0.22045,0.019569,0.093613,-0.00038,0.222437
GSM1090277_alz_f,0.245945,-0.42066,-0.35032,-0.31697,-0.14612,0.10048,0.095884,0.024655,-0.03026,-0.05776,-0.02426,-0.13035,-0.11611,-0.09112,0.005192,0.163893,-0.10441,-0.25346,-0.22965,-0.0364,-0.03822,-0.08781,0.032059,0.045502,-0.03567,-0.09941,-0.01255,0.036107,-0.06342,-0.09289,0.577151,0.353654,0.083901,0.137264,0.404653,0.321482,0.078071,0.087962,0.149175,-0.02361,0.129155,-0.06847,0.03855,0.043323,0.006317,0.094284,-0.08798,0.143117,0.057187,0.244825,0.319047,0.164621,-0.33972,-0.02187
GSM1090282_alz_f,0.440187,0.199408,-0.09561,0.384826,-0.11276,0.163864,-0.19778,-0.1274,-0.02349,-0.19722,-0.05054,-0.18573,0.074082,0.193591,0.050512,-0.0641,-0.32509,-0.12384,-0.00711,0.113935,0.089965,0.167916,0.015257,-0.06198,0.043246,-0.09764,0.025771,-0.04054,0.195151,-0.20683,0.027015,0.041307,0.067272,-0.09383,0.103982,-0.20739,0.142916,0.026217,-0.08924,-0.05867,-0.02226,-0.17769,-0.0742,0.067881,0.044802,0.065812,-0.00277,0.219718,0.134884,0.1989,0.542619,0.062187,0.143434,0.069195
GSM1090284_alz_f,0.366115,-0.03379,-0.09254,0.150413,0.099431,-0.01735,-0.10217,-0.04408,0.015763,0.014294,-0.0453,-0.04984,0.065516,0.171827,0.006578,-0.13499,-0.71619,0.007558,-0.18974,-0.08297,0.113917,0.057433,-0.00481,-0.15131,0.005204,0.01219,0.070775,-0.0107,0.077125,-0.12425,0.050225,0.056095,-0.1557,-0.11152,-0.17491,0.116245,-0.01171,0.141499,-0.07687,0.011413,0.071604,-0.01048,0.020564,-0.05313,0.043772,0.010483,0.039391,0.159082,0.123926,0.115399,0.099989,0.06691,-0.28075,-0.08393
GSM1090285_alz_f,0.342604,-0.19143,-0.16528,-0.04182,-0.31651,0.122101,-0.02727,-0.18149,0.003441,-0.1669,-0.14991,-0.21206,0.025869,0.143294,0.045361,0.613721,1.382931,-0.32036,-0.36007,-0.06112,-0.10244,-0.13771,-0.03084,0.017365,0.117585,0.053062,0.035617,0.081144,0.003442,-0.05268,0.007893,-0.00103,-0.01177,0.134258,0.26778,0.323616,0.048374,0.119109,0.189984,0.016691,0.215096,-0.17664,0.005598,0.108245,-0.00984,0.171955,-0.02347,0.094303,-0.01094,0.047481,0.216523,0.109881,-0.0942,-0.08067
GSM1090291_alz_f,0.497142,-0.29836,-0.22498,-0.23675,0.108094,-0.0842,0.028409,-0.1799,-0.02394,-0.10043,0.00032,0.081272,-0.04485,0.016621,0.025181,-0.08308,-0.60534,0.113038,-0.70244,-0.19723,-0.03547,-0.12493,-0.08604,0.125686,0.168011,-0.288,-0.09497,-0.07535,0.07596,0.096514,0.158766,-0.03467,-0.35072,-0.34135,-0.41648,0.06613,-0.00102,0.053058,0.054368,0.052101,0.231379,0.050737,0.070229,-0.03998,-0.04878,0.047294,-0.1342,-0.05564,-0.05457,-0.02219,-0.22789,0.120342,-0.56201,-0.0257
